i,name
0,Alpaca
1,Ant
2,Anteater
3,Armadillo
4,Badger
5,Bat
6,Bear
7,Beaver
8,Bee
9,Beetle
10,Bird
11,Butterfly
12,Caddisfly
13,Cat
14,Caterpillar
15,Chicken
16,Cockroach
17,Cow
18,Crab
19,Cricket
20,Crocodile
21,Deer
22,Dog
23,Dolphin
24,Dragonfly
25,Earwig
26,Echidna
27,Eel
28,Egg
29,Elephant
30,Firefly
31,Fish
32,Flatted bug
33,Flea
34,Fly
35,Flying fox
36,Frog
37,Giraffe
38,Goat
39,Hare
40,Hippopotamus
41,Horse
42,Horseshoe Crab
43,Hydroid
44,Hyena
45,Insect
46,Isopod
47,Jellyfish
48,Kangaroo
49,Koala
50,Ladybug
51,Larva
52,Leaf insect
53,Lizard
54,Loris
55,Meerkat
56,Mite
57,Mongoose
58,Mosquito
59,Mudskipper
60,Nautilus
61,Octopus
62,Otter
63,Panda
64,Pangolin
65,Penguin
66,Pig
67,Pillbug
68,Platypus
69,Pond skater
70,Porcupine
71,Possum
72,Prawn
73,Primate
74,Pupa
75,Racoon
76,Rhinoceros
77,Rodent
78,Salamander
79,Scorpion
80,Sea cucumber
81,Sea horse
82,Sea star
83,Sea urchin
84,Seal
85,Shark
86,Shellfish
87,Silverfish
88,Sloth
89,Snail
90,Snake
91,Spider
92,Squirrel
93,Stick insect
94,Stingray
95,Stink bug
96,Tadpole
97,Tapir
98,Tortoise
99,Water Insect
100,Water bird
101,Weasel
102,Whale
103,Wombat
104,Worm
105,Zebra
106,Zooplankton
